Title;Price
Багет «Картофельный», 300 г;99
Багет «Луковый»_РП;50
Багет «Французский»;100
Багет «Цельнозерновой». Пекарня;150
Багет витой на закваске;56
Багет мини зерновой_РП;64
Багет мини, пшеничный. Пекарня;70
Багет мини, ржаной. Пекарня;55
Багет пшенично- ржаной сырно-чесночный_РП;60
Багет пшеничный подовый. Пекарня;52
Багет пшеничный с сырной начинкой_РП;75
Багет пшеничный с чесноком, 180 г. Пекарня;47
Багет пшеничный. Пекарня;85
Багет ржаной с чесноком, 180 г. Пекарня;90
Багет Финский 330 г_РП;85
Банановый кекс с орехом;88
Баранки «Горчичные»;212
Баранки «Молочные»;75
Баранки «Свекольные»;60
Баранки с маком;86
Батард чесночный, пекарня;66
Батон «Весенний», половинка, нарезка;165
Батон «Домашний» (мини);36
Батон «Молодежный», нарезка;53
Батон горчичный_РП;60
Батон нарезной;35
Батон нарезной молочный_РП;49
Батон нарезной, половинка;29
Батон нарезной, половинка_РП;50
Батон с отрубями, нарезка;49
Бейгл с кунжутом;65
Бисквит с арахисом_РП;150
Брауни протеиновое;134
Брауни протеиновое с апельсином;134
Брауни протеиновое с вишней;134
Бублик с кунжутом;53
Бублики горчичные_РП;65
Булка Городская_РП;30
Булочка «Активный день». Пекарня;70
Булочка «Ромашка семейная» с маком;147
Булочка «Французская» с кунжутом;70
Булочка для гамбургера зам. 2 шт;103
Булочка для хот-дога_РП;70
Булочка из восьми злаков_РП;62
Булочка с кардамоном;48
Булочка с маком и шоколадом;157
Булочка с маком, 125 г;93
Булочка с маком, 70 г;49
Булочка со злаками без муки, 80 г. Пекарня;130
Булочки «Кукурузные»;49
Булочки «Столичные» с отрубями, 6 шт_РП;59
Булочки для гамбургера, 100 г (2 шт);84
Булочки для хот-догов с кунжутом;60
Булочки ржаные «Бородинские», 2 шт. Пекарня;100
Булочки сдобные, 2 шт;63
Ватрушка «Венгерская» с творогом;134
Ватрушка с творогом, 120 г;104
Вафля «Бельгийская» льняная, веган, зам.;35
Выпекаем дома. Багет пшеничный с чесноком. 2 шт. Пекарня;140
Выпекаем дома. Багет ржаной с чесноком, 2 шт. Пекарня;140
Галета с вишней;164
Гата домашняя;154
Гребешок с корицей;41
Гренки пшенично-ржаные с чесноком;116
Гренки ржано-пшеничные с аджикой;116
Гренки с аджикой, 100 г;111
Дениш с абрикосом. Пекарня;180
Завиток с изюмом, кафе;80
Завиток с корицей, кафе;80
Изделие зерновое «Нехлеб» из зеленой гречки_РП;240
Изделие из пророщ. зерна «Живые Зерна»;67
Изделие слоеное «Язычок» (с сахаром), 50 г;73
Изделие х/б «Альпийский» цельнозер., 250 г;83
Изделие х/б «Амарантовый», 100 г;88
Изделие х/б «Ароматный кукурузный», половинка. Пекарня;50
Изделие х/б «Ароматный кукурузный». Пекарня;90
Изделие х/б «Белково- полбяной с изюмом и семечками»;121
Изделие х/б «Бородинский» бездрожжевой;79
Изделие х/б «Бородинский» бездрожжевой нарезка, 270 г;75
Изделие х/б «Бриошь», нарезка;82
Изделие х/б «Вертел мини», 150 г;59
Изделие х/б «Гречишный» подовый, нарезка;95
Изделие х/б «Деревенский» подовый, нарезка;84
Изделие х/б «Деревенский», половинка. Пекарня;120
Изделие х/б «Деревенский». Пекарня;180
Изделие х/б «Для сэндвичей» зерновое, нарезка;200
Изделие х/б «Для тостов» зерновое, 250 г;88
Изделие х/б «Заварной» с ржаным солодом, нарезка;85
Изделие х/б «Зернышко» бездрожжевой;79
Изделие х/б «Зернышко», подовый;108
Изделие х/б «Злаковый» с семенами льна и мака;86
Изделие х/б «Злаковый», половинка. Пекарня;88
Изделие х/б «Злаковый». Пекарня;90
Изделие х/б «Знатный» ржано-пшеничный;165
Изделие х/б «Картофельный», 350 г;56
Изделие х/б «Кефирный»;100
Изделие х/б «Масличный печерский»;69
Изделие х/б «Монж», нарезка (для брускетт);59
Изделие х/б «МОНЖ», половинка.Пекарня;55
Изделие х/б «МОНЖ». Пекарня;100
